ЦУР,2016,2017,2018,2019,2020,2021,2022,Model,2023_forecast,2024_forecast,mape
16.1.1 (чел),308.0,252.0,236.0,245.0,223.0,194.0,178.0,arch,232.70053560012357,232.70053560012357,0.13364863855711598
16.1.1 (%),7.3,6.0,5.6,5.8,5.3,4.6,4.3,arch,5.49098549635462,5.49098549635462,0.13029886638568594
16.7.1 (чел),6.6,6.6,6.6,6.7,6.8,7.8,8.1,arch,6.879479207158231,6.879479207158231,0.062029875563618296
Т 16.5 (Количество преступлений экономической направленности),2960.0,2265.0,2178.0,2064.0,1866.0,3396.0,3509.0,arch,2464.8237973284613,2464.8237973284613,0.21058321683165374
Т 16.6 (Доля потерпевших от преступных посягательств),2.6,2.9,2.9,3.1,3.0,3.0,3.0,exp,3.0001608141064664,3.0001608141064664,0.03653796373916809
"Т 16.7 (возрасте 15-72 лет,  использующего сеть Интернет для получения государственных )",42.2,48.7,60.1,59.3,60.9,72.2,76.3,arch,60.55739652768861,60.55739652768861,0.1543582844448286
"Т 16.7 (возрасте 15-72 лет, использующего многофункциональный центр (МФЦ))",35.7,34.8,30.7,28.5,25.3,24.2,22.3,arch,27.49056553725834,27.49056553725834,0.14789659241347078
"Т 16.7 (возрасте 15-72 лет, использовавших механизм получения государственных и муниципальных услуг в электронной форме)",56.6,66.1,78.4,80.4,86.3,90.9,93.9,arch,81.59911642181238,81.59911642181238,0.14566728051271557
17.8.1 (%),78.1,80.0,82.3,83.3,87.6,88.0,91.4,arch,83.83610230646705,83.83610230646705,0.04564817752731861
17.13.1 (руб),324802.1,341163.4,367627.9,389521.4,409240.7,483970.4,483970.4,arch,400042.32855032315,400042.32855032315,0.12696029456532482
"17.16.1 (Количество граждан, принимающих участие в добровольческой деятельности)",2150.0,2150.0,2150.0,2150.0,3014.0,6403.0,10703.0,arch,4102.856605310367,4102.856605310367,0.7100542622326648
"Т 17.2 (Доля населения, пользующегося информационно-телекоммуникационной сетью «Интернет»)",78.1,80.0,82.3,83.3,87.6,88.0,91.4,arch,83.83610230646705,83.83610230646705,0.04564817752731861
Т 17.3 (в возрасте 15-74) использовавшего сеть Интернет в %,82.7,85.0,88.3,89.4,90.9,91.1,94.5,arch,89.07832149868645,89.07832149868645,0.03387479465810712
"Т 17.4 (ВРП на душу населения, руб)",324802.1,341163.4,367627.9,389521.4,409240.7,483970.4,483970.4,arch,400042.32855032315,400042.32855032315,0.12696029456532482
Т 17.4 (Фактическое конечное потребление домашних хозяйств в единой валюте на душу населения),313200.7,328334.0,349235.6,361083.1,368512.4,427258.2,427258.2,arch,367840.3142610383,367840.3142610383,0.0923892959772884
Т 17.4 (Индекс физического объема валового регионального продукта на душу населения),103.3,102.7,102.5,102.1,97.8,106.8,106.8,arch,102.40320271644582,102.40320271644582,0.020698570912033087
2.1.1,0.6,0.4,0.4,0.3,0.1,0.1,0.0,arima,9.526792060131776e-18,9.02833377606833e-18,0.8410467536623522
2.5.2,98.3,98.3,98.3,98.75,99.2,94.8,96.2,arch,97.96862229495339,97.96862229495339,0.011749736684222896
2.a.1,115.8,107.6,91.4,105.8,97.1,108.4,110.11,exp,105.17285741340888,105.17285741340888,0.06124179168405682
2.b.1,3856159.0,2959757.2,4125960.0,2184380.0,2017583.371,2625833.643,3426166.359,arima,3027977.081857143,3027977.081857143,0.23718452441563564
Т2.2.1,0.6,0.4,0.4,0.3,0.1,0.1,0.0,arima,9.526792060131776e-18,9.02833377606833e-18,0.8410467536623522
Т2.2.2,98.3,98.3,98.3,98.75,99.2,94.8,96.2,arch,97.96862229495339,97.96862229495339,0.011749736684222896
Т2.2.3,115.8,107.6,91.4,105.8,97.1,108.4,110.11,exp,105.17285741340888,105.17285741340888,0.06124179168405682
