ЦУР,2016,2017,2018,2019,2020,2021,2022,AgglomerativeClustering,KMeans
Т3.13.5,93.0,114.0,112.0,56.0,673.0,63.0,58.0,2,0
Т3.13.6,303.0,399.0,317.0,264.0,2143.0,104.0,152.0,2,0
4.2.1 (I группа здоровья),108986.0,108211.0,40435.0,113799.0,97040.0,116275.0,120197.0,4,2
4.2.1 (II группа здоровья),252743.0,259078.0,260946.0,261005.0,213056.0,250857.0,239182.0,0,3
4.2.1 (III группа здоровья),51585.0,50639.0,50478.0,48494.0,43735.0,51245.0,45504.0,3,3
4.2.1 (IV группа здоровья),1789.0,2648.0,2657.0,2327.0,1101.0,2245.0,1978.0,0,3
4.2.1 (V группа здоровья),7027.0,7373.0,7576.0,7804.0,6964.0,9276.0,8652.0,1,4
4.3.1,23585.0,31949.0,38350.0,50535.0,48605.0,48605.0,48605.0,1,1
4.4.1.a,80.7,80.1,83.2,80.4,80.2,78.8,80.8,0,3
4.4.1.b,99.2,95.0,96.2,97.7,96.7,95.5,97.2,0,2
Т4.2.2,20.9,20.9,20.9,21.1,20.8,22.32,22.32,1,4
Т4.2.3,51.2,51.2,51.2,51.5,54.3,53.9,53.9,1,4
Т4.2.4,37.4,37.4,37.4,37.1,37.2,36.6,36.6,0,3
Т4.2.6,96.1,96.1,96.1,94.7,95.3,95.3,95.3,3,3
Т4.3.3,12139.0,12232.0,12281.0,12307.0,12153.0,12082.0,11711.0,0,3
Т4.5.1,1264.0,1259.0,1249.0,1247.0,1240.0,1236.0,1229.0,3,3
Т4.5.2,407.0,417.9,425.5,433.4,439.6,449.6,464.4,1,4
Т4.5.3,51964.0,52657.0,53002.0,53155.0,53289.0,51873.0,51494.0,0,0
Т4.6.1,21752.0,22476.0,22379.0,22311.0,23538.0,22908.0,22492.0,2,0
Т4.6.2,72088.0,74047.0,76115.0,80214.0,85465.0,87634.0,89723.0,1,4
Т4.6.3,138584.0,134514.0,136425.0,133154.0,132256.0,129812.0,130472.0,3,3
Т4.7.1,7345.0,7567.0,6983.0,6652.0,5764.0,6596.0,6594.0,3,3
Т4.7.2,15040.0,16930.0,17117.0,17223.0,18025.0,18311.0,20022.0,1,4
Т4.7.3,39524.0,32096.0,31641.0,30497.0,29257.0,27648.0,26427.0,3,3
